arquivo,duracao_segundos,frequencia_amostragem,amplitude_media,amplitude_maxima,amplitude_ratio (mean/max),snr_estimado_db,zero_crossing_rate,regioes_silencio,silencio/tempo,cluster
vVWqGo-uf3o,20.619333333333337,48000.0,0.33177745,1.1898928,0.2788296937942505,59.912422,0.0609803697808945,0.0,0.0,15.0
sIUon1pkvlE,34.330708333333334,48000.0,0.098727494,0.92950845,0.106214739382267,65.9088,0.0382209391503572,0.0,0.0,61.0
3wKey6S8Pw0,65.17333333333333,48000.0,0.106782146,0.85815364,0.1244324296712875,45.482803,0.0517177815875061,17.0,0.2608428805237316,63.0
LlBleCBJt-U,40.843916666666665,48000.0,0.045626845,0.99766713,0.0457335337996482,31.879332,0.0990366963120104,15.0,0.3672517531170493,40.0
aNpciQ4E3jg,12.821333333333332,48000.0,0.013555561,0.17073902,0.0793934538960456,69.07155,0.0048844360453034,0.0,0.0,73.0
J9kMUkOxO-g,84.17235416666666,48000.0,0.12242038,1.054316,0.1161135509610176,31.504208,0.0301398592918461,12.0,0.14256462372715903,35.0
t-XueGt8lhI,10.176,48000.0,0.05478754,0.90640974,0.0604445599019527,59.06017,0.0259724721858638,0.0,0.0,61.0
U33PfB8mkSs,44.443,48000.0,0.28668875,1.2122537,0.2364923655986786,33.31505,0.0621358103851691,0.0,0.0,15.0
6xxi70O9EpI,7.325895833333333,48000.0,0.1292801,0.633016,0.2042288184165954,46.680153,0.0304120326146288,0.0,0.0,26.0
KOqJDdlkyFw,22.024145833333332,48000.0,0.15945636,1.0622044,0.1501183360815048,30.702084,0.024145212242736,1.0,0.04540471206318066,4.0
FuwidnO8zNM,20.503229166666667,48000.0,0.11956288,1.0855117,0.1101442575454711,183.35162,0.054791605726729,0.0,0.0,33.0
F06SKi-4UWQ,26.325333333333333,48000.0,0.17864434,1.0491326,0.1702781319618225,42.05255,0.0314056408844673,0.0,0.0,4.0
nk_4DZIEfYY,13.815875,48000.0,0.26889747,1.1108203,0.2420710921287536,41.469326,0.0369974772135416,0.0,0.0,57.0
r9njGhlhKro,8.4636875,48000.0,0.09355646,0.611452,0.1530070453882217,57.240658,0.0464746585721032,0.0,0.0,55.0
