arquivo,duracao_segundos,frequencia_amostragem,amplitude_media,amplitude_maxima,amplitude_ratio (mean/max),snr_estimado_db,zero_crossing_rate,regioes_silencio,silencio/tempo,duracao_categoria
_-C9NdsJEH4.mp3,490.8698541666666,48000,0.083022825,1.1087856,0.0748772546648979,26.329376,0.0581016809097946,20,0.040743997273887056,>60s
ZGmeS2zsNeU.mp3,59.768166666666666,48000,0.036288932,0.4766694,0.0761301890015602,21.449625,0.0489711067150695,0,0.0,45-60s
fpr7h6QUuG8.mp3,932.2579791666668,48000,0.06379115,1.1346924,0.0562188886106014,25.429401,0.0766606925772311,44,0.0471972361548796,>60s
X_i8y6QHsD0.mp3,160.5195625,48000,0.061418984,0.9948292,0.0617382228374481,25.301302,0.0666030355526114,4,0.02491908112445796,>60s
ATRcLRgIW8U.mp3,534.6618541666667,48000,0.059773196,0.87802726,0.0680766999721527,26.897402,0.0570441669264339,6,0.011222046146066854,>60s
YDAhohNeKQI.mp3,68.01066666666667,48000,0.030276343,0.99923,0.0302996728569269,17.13404,0.0717650926915085,3,0.04411072772898369,>60s
jG6b_cqJW-g.mp3,15.893333333333333,48000,0.19014983,1.0554588,0.1801584661006927,35.479546,0.0664959810949027,0,0.0,10-25s
mgGl-R1G06c.mp3,2258.3263541666665,48000,0.26683322,1.7244265,0.1547373682260513,27.233599,0.0418050474995749,0,0.0,>60s
eSpgguJspZ4.mp3,38.185229166666666,48000,0.09396305,0.8393154,0.1119520142674446,33.579872,0.0445144738564944,0,0.0,35-45s
qpyLckxirXM.mp3,23.881729166666663,48000,0.44614473,1.4711459,0.3032634258270263,38.87016,0.0091547827573693,0,0.0,10-25s
ZShSH96yXxI.mp3,19.71375,48000,0.19705452,0.9997745,0.197098970413208,36.00617,0.0380941239352352,0,0.0,10-25s
88o6jdVMG-U.mp3,166.44097916666666,48000,0.07402754,1.01831,0.0726964697241783,26.35392,0.0343225044459753,7,0.042056950367916957,>60s
GA9JL7rDOhQ.mp3,28.2703125,48000,0.11601209,0.74413955,0.1559009850025177,43.5007,0.0261494777913994,0,0.0,25-35s
p0er_U50nSI.mp3,60.010666666666665,48000,0.08251333,0.543114,0.1519263535737991,31.870007,0.0437859941465256,2,0.0333274084607181,>60s
Iz9BWN5hHSY.mp3,121.56808333333332,48000,0.08738092,0.7826958,0.1116409823298454,29.793282,0.0738256146226311,0,0.0,>60s
u9qLXh7y2hI.mp3,73.23575,48000,0.06952738,1.0254931,0.0677989721298217,23.274364,0.0437619759048208,0,0.0,>60s
meErrDiPlnk.mp3,58.41066666666666,48000,0.046469867,0.28217643,0.1646837294101715,57.437103,0.0738154298658024,0,0.0,45-60s
TyZ-0LCVyQo.mp3,172.5939375,48000,0.19778895,1.227711,0.1611038446426391,36.599285,0.0879945820425962,0,0.0,>60s
CFhyZj_U97Q.mp3,52.83702083333333,48000,0.06640384,0.9171979,0.0723986029624939,29.8666,0.0590537436604259,0,0.0,45-60s
qDne5JXHE20.mp3,180.09397916666666,48000,0.06697838,0.8621901,0.077684000134468,23.268845,0.0324715128783167,0,0.0,>60s
YZYqS7tQUoA.mp3,318.04372916666665,48000,0.0567049,1.0171528,0.0557486563920974,20.936258,0.0374370738326709,7,0.022009552014565083,>60s
i2JqK5z6vEQ.mp3,56.517375,48000,0.06514701,0.83291674,0.078215517103672,29.80148,0.0770355587433949,2,0.03538734769617308,45-60s
Fshaz9CgRnE.mp3,76.544,48000,0.032701846,0.44777593,0.0730317160487175,26.57331,0.0573936952460986,2,0.02612876254180602,>60s
bjk-JP8Fk2c.mp3,63.2279375,48000,0.088816814,0.61552703,0.1442939341068267,36.135124,0.0561333989646592,0,0.0,>60s
b1uAZPOxVjk.mp3,35.456,48000,0.07738696,0.99747515,0.0775828436017036,26.332502,0.0551032366071428,0,0.0,35-45s
kdwi7J87Ve0.mp3,25.984,48000,0.09999335,0.94507474,0.1058046966791153,41.650826,0.0666548987612843,0,0.0,25-35s
Mts6T4k3IB0.mp3,1163.8421875,48000,0.07872626,1.0928671,0.0720364451408386,24.192446,0.0515022715901123,34,0.029213582704914625,>60s
IKem9Qmh0jA.mp3,60.03520833333334,48000,0.050016396,0.7049177,0.0709535256028175,24.698896,0.061620503891677,2,0.03331378461944206,>60s
OMJ2e6f4gzM.mp3,386.7733333333333,48000,0.08026247,1.1118948,0.0721853002905845,23.156311,0.0951424249925884,1,0.0025854936569222283,>60s
xPTnmxv6EjE.mp3,58.73489583333333,48000,0.18768594,1.2090796,0.1552304178476333,33.631226,0.0287778267999818,2,0.034051307517003485,45-60s
4q-_1JD2vGc.mp3,15.018666666666666,48000,0.042743072,0.46227166,0.0924631059169769,81.210526,0.0138323251197657,0,0.0,10-25s
MlhuR3BppXU.mp3,11.8421875,48000,0.077120006,0.9334058,0.0826221629977226,58.587452,0.0404530687443744,0,0.0,10-25s
zpg_vgx6bkA.mp3,40.077645833333335,48000,0.0977562,0.92289245,0.1059237197041511,27.602911,0.0482323906915247,0,0.0,35-45s
7PS4m-niwoY.mp3,14.805333333333332,48000,0.06468482,0.8787012,0.073614127933979,46.98702,0.0489255000224982,0,0.0,10-25s
GPL9cM0CAqA.mp3,33.43675,48000,0.08212758,1.0606656,0.0774302259087562,25.362188,0.0499482904704944,0,0.0,25-35s
_BFSj1XdOow.mp3,53.81225,48000,0.03704788,0.9825424,0.0377061404287815,26.118073,0.0482280568632309,3,0.05574938791817848,45-60s
gO5yLbFrMcE.mp3,70.530625,48000,0.020511515,0.3167746,0.0647511333227157,57.992447,0.0442537278608422,0,0.0,>60s
sqIlgBg4L5o.mp3,191.72716666666668,48000,0.11612538,1.0081352,0.1151883006095886,46.05149,0.0223913149773991,3,0.015647234829353863,>60s
x_Imetp5n88.mp3,11.904,48000,0.12653695,0.760232,0.166445180773735,44.99992,0.0526976555505819,0,0.0,10-25s
Cvm2sRxxgYE.mp3,1115.2544375,48000,0.09558103,1.1254188,0.0849293023347854,22.82028,0.0545842126094509,5,0.004483281869927552,>60s
GqlSeyk5OJ8.mp3,217.92,48000,0.038578644,0.51126933,0.0754565969109535,27.737797,0.0697566800679726,3,0.013766519823788547,>60s
F49zaoQ8mz8.mp3,36.885333333333335,48000,0.05299645,0.85839933,0.0617386884987354,24.18847,0.0332051012756577,0,0.0,35-45s
qRNLdZNP3g8.mp3,49.59783333333333,48000,0.08472474,1.0400355,0.0814633145928382,24.359127,0.0351182375672043,0,0.0,45-60s
vcsNGlznRgM.mp3,58.81614583333333,48000,0.19376323,1.0104634,0.1917567998170852,63.922432,0.0663819908771532,0,0.0,45-60s
dKKSd6oFsCo.mp3,621.2615,48000,0.15765682,1.1703659,0.1347072869539261,29.627073,0.0526333721069981,24,0.03863107564206055,>60s
b8PM35W4K3M.mp3,546.0266666666666,48000,0.18680602,1.2179438,0.1533782035112381,86.82624,0.0688179440722002,0,0.0,>60s
B1XQ4cfdwgU.mp3,338.2450833333333,48000,0.037691157,0.361216,0.1043452024459838,173.39658,0.0677016250029563,0,0.0,>60s
