n_neighbors,n_components,min_dist,min_cluster_size,min_samples,cluster_eps,embedding_model,coherence,diversity,silhouette
20,5,0.5,150,100,0.1,paraphrase-multilingual-mpnet-base-v2,0.5104410589050401,0.95,0.35592564940452576
20,5,0.5,150,100,0.1,neuralmind/bert-base-portuguese-cased,0.47839288683090697,0.925,0.18978522717952728
20,10,0.0,50,5,0.1,paraphrase-multilingual-mpnet-base-v2,0.49296725965231497,0.7571428571428571,0.06882187724113464
20,10,0.0,50,5,0.1,neuralmind/bert-base-portuguese-cased,0.5898914227194619,0.7892857142857143,-0.03142281249165535
20,10,0.0,50,10,0.1,paraphrase-multilingual-mpnet-base-v2,0.5115317048425726,0.7346153846153847,0.045150503516197205
20,10,0.0,50,10,0.1,neuralmind/bert-base-portuguese-cased,0.567767554390231,0.8208333333333333,0.009312199428677559
20,10,0.0,50,100,0.1,paraphrase-multilingual-mpnet-base-v2,0.5429731205547956,0.8833333333333333,0.01473713107407093
20,10,0.0,50,100,0.1,neuralmind/bert-base-portuguese-cased,0.6162342834561765,0.80625,-0.09228263050317764
20,10,0.0,100,5,0.1,paraphrase-multilingual-mpnet-base-v2,0.5338458275411418,0.85,0.008576998487114906
20,10,0.0,100,5,0.1,neuralmind/bert-base-portuguese-cased,0.5978116465642811,0.785,-0.010940218344330788
20,10,0.0,100,10,0.1,paraphrase-multilingual-mpnet-base-v2,0.5270092592256677,0.85,0.007660456467419863
20,10,0.0,100,10,0.1,neuralmind/bert-base-portuguese-cased,0.5705028022341669,0.82,0.011538493447005749
20,10,0.0,100,100,0.1,paraphrase-multilingual-mpnet-base-v2,0.5429731205547956,0.8833333333333333,0.01473713107407093
20,10,0.0,100,100,0.1,neuralmind/bert-base-portuguese-cased,0.633796435377954,0.82,-0.03493350371718407
20,10,0.0,150,5,0.1,paraphrase-multilingual-mpnet-base-v2,0.5338458275411418,0.85,0.008576998487114906
20,10,0.0,150,5,0.1,neuralmind/bert-base-portuguese-cased,0.5348242553948634,0.925,0.05846588686108589
20,10,0.0,150,10,0.1,paraphrase-multilingual-mpnet-base-v2,0.5270092592256677,0.85,0.007660456467419863
20,10,0.0,150,10,0.1,neuralmind/bert-base-portuguese-cased,0.6017192561710573,0.86,-0.02727237157523632
20,10,0.0,150,100,0.1,paraphrase-multilingual-mpnet-base-v2,0.5429731205547956,0.8833333333333333,0.01473713107407093
20,10,0.0,150,100,0.1,neuralmind/bert-base-portuguese-cased,0.5967866185718055,0.85,-0.04815496876835823
20,10,0.1,50,5,0.1,paraphrase-multilingual-mpnet-base-v2,0.5304444422717038,0.7394736842105263,0.08595040440559387
20,10,0.1,50,5,0.1,neuralmind/bert-base-portuguese-cased,0.5788905905520935,0.7857142857142857,-0.027658788487315178
20,10,0.1,50,10,0.1,paraphrase-multilingual-mpnet-base-v2,0.5162629420027924,0.7588235294117647,0.09940506517887115
20,10,0.1,50,10,0.1,neuralmind/bert-base-portuguese-cased,0.552771849798353,0.8107142857142857,0.03370979055762291
20,10,0.1,50,100,0.1,paraphrase-multilingual-mpnet-base-v2,0.5344197167850981,0.9,0.008293713442981243
20,10,0.1,50,100,0.1,neuralmind/bert-base-portuguese-cased,0.6348686750247551,0.7857142857142857,-0.0672304630279541
20,10,0.1,100,5,0.1,paraphrase-multilingual-mpnet-base-v2,0.5051741717901482,0.74,0.12583623826503754
20,10,0.1,100,5,0.1,neuralmind/bert-base-portuguese-cased,0.5769371808840008,0.759090909090909,-0.027730874717235565
20,10,0.1,100,10,0.1,paraphrase-multilingual-mpnet-base-v2,0.47798963827844865,0.7944444444444444,0.17231151461601257
20,10,0.1,100,10,0.1,neuralmind/bert-base-portuguese-cased,0.5673394913661742,0.8611111111111112,-0.0004208628088235855
20,10,0.1,100,100,0.1,paraphrase-multilingual-mpnet-base-v2,0.5344197167850981,0.9,0.008293713442981243
20,10,0.1,100,100,0.1,neuralmind/bert-base-portuguese-cased,0.6392257429585645,0.84,-0.00921270065009594
20,10,0.1,150,5,0.1,paraphrase-multilingual-mpnet-base-v2,0.51204064315046,0.7222222222222222,0.13164344429969788
20,10,0.1,150,5,0.1,neuralmind/bert-base-portuguese-cased,0.5476351749403342,0.925,0.02720845490694046
20,10,0.1,150,10,0.1,paraphrase-multilingual-mpnet-base-v2,0.4868703923935858,0.8142857142857143,0.13090500235557556
20,10,0.1,150,10,0.1,neuralmind/bert-base-portuguese-cased,0.6018931282214723,0.92,0.04460880532860756
20,10,0.1,150,100,0.1,paraphrase-multilingual-mpnet-base-v2,0.5344197167850981,0.9,0.008293713442981243
20,10,0.1,150,100,0.1,neuralmind/bert-base-portuguese-cased,0.6042217079262154,0.8375,-0.004160511307418346
20,10,0.5,50,5,0.1,paraphrase-multilingual-mpnet-base-v2,0.5418592248439482,0.85,0.16517487168312073
20,10,0.5,50,5,0.1,neuralmind/bert-base-portuguese-cased,0.42461206372707716,1.0,0.27404820919036865
