n_neighbors,n_components,min_dist,min_cluster_size,min_samples,cluster_eps,embedding_model,coherence,diversity,silhouette,mean_score
10,10,0.0,150,10,0.1,all-distilroberta-v1,0.5696214940287476,0.8214285714285714,0.38466817140579224,0.5919060789543704
10,10,0.0,150,10,0.1,paraphrase-MiniLM-L6-v2,0.4516057634457874,0.875,0.8434184193611145,0.7233413942689673
10,10,0.0,150,10,0.1,neuralmind/bert-base-portuguese-cased,0.577937204660228,0.8,0.5308061838150024,0.6362477961584102
10,10,0.0,150,100,0.1,all-MiniLM-L6-v2,0.47584988143663365,0.85,0.8194795250892639,0.7151098021752992
10,10,0.0,150,100,0.1,all-distilroberta-v1,0.5847221053890389,0.8714285714285714,0.45330363512039185,0.6364847706460007
10,10,0.0,150,100,0.1,paraphrase-MiniLM-L6-v2,0.454368672340346,0.85,0.854451060295105,0.7196065775451504
10,10,0.0,150,100,0.1,neuralmind/bert-base-portuguese-cased,0.6256218159309151,0.9375,0.5110755562782288,0.6913991240697146
10,10,0.1,50,5,0.1,all-MiniLM-L6-v2,0.5226385544243886,0.975,0.3945215344429016,0.63072002962243
10,10,0.1,50,5,0.1,all-distilroberta-v1,0.5315335523594784,0.7739130434782608,0.311383992433548,0.5389435294237624
10,10,0.1,50,5,0.1,paraphrase-MiniLM-L6-v2,0.3895626158212302,0.8,0.6951765418052673,0.6282463858754992
10,10,0.1,50,5,0.1,neuralmind/bert-base-portuguese-cased,0.5972907957997476,0.785,0.3661171495914459,0.5828026484637312
10,10,0.1,50,10,0.1,all-MiniLM-L6-v2,0.5250896442466017,0.95,0.39452219009399414,0.6232039447801986
10,10,0.1,50,10,0.1,all-distilroberta-v1,0.5147318869264721,0.95,0.05901607125997543,0.5079159860621492
10,10,0.1,50,10,0.1,paraphrase-MiniLM-L6-v2,0.3895626158212302,0.8,0.6951766610145569,0.628246425611929
10,10,0.1,50,10,0.1,neuralmind/bert-base-portuguese-cased,0.6076947237402351,0.7541666666666667,0.43625083565711975,0.5993707420213404
10,10,0.1,50,100,0.1,all-MiniLM-L6-v2,0.47312893258265254,0.825,0.7902841567993164,0.6961376964606564
10,10,0.1,50,100,0.1,all-distilroberta-v1,0.5823515149983718,0.8428571428571429,0.40452292561531067,0.6099105278236084
10,10,0.1,50,100,0.1,paraphrase-MiniLM-L6-v2,0.4976442736358575,0.875,0.816772997379303,0.7298057570050535
10,10,0.1,50,100,0.1,neuralmind/bert-base-portuguese-cased,0.6529004052526357,0.7857142857142857,0.44371429085731506,0.6274429939414121
10,10,0.1,100,5,0.1,all-MiniLM-L6-v2,0.42661883364401554,0.7833333333333333,0.3531426191329956,0.5210315953701148
10,10,0.1,100,5,0.1,all-distilroberta-v1,0.5700069757464697,0.9,0.26333704590797424,0.5777813405514813
10,10,0.1,100,5,0.1,paraphrase-MiniLM-L6-v2,0.4704503738886608,0.73125,0.6708223819732666,0.6241742519539758
10,10,0.1,100,5,0.1,neuralmind/bert-base-portuguese-cased,0.6020430994654189,0.7888888888888889,0.37269312143325806,0.5878750365958553
10,10,0.1,100,10,0.1,all-MiniLM-L6-v2,0.42661883364401554,0.7833333333333333,0.35786014795303345,0.5226041049767941
10,10,0.1,100,10,0.1,all-distilroberta-v1,0.5625456310885444,0.94,0.26064401865005493,0.5877298832461998
10,10,0.1,100,10,0.1,paraphrase-MiniLM-L6-v2,0.4854799395607546,0.6714285714285714,0.5150217413902283,0.5573100841265181
