arquivo,duracao_segundos,frequencia_amostragem,amplitude_media,amplitude_maxima,amplitude_ratio (mean/max),snr_estimado_db,zero_crossing_rate,regioes_silencio,silencio/tempo
QpUhTUkdFkY.mp3,225.64266666666663,48000,0.09431389,0.9669136,0.0975411757826805,28.360474,0.0611238570225715,0,0.0
ItclcRHYUtg.mp3,12748.939333333334,48000,0.027044056,1.0972223,0.024647744372487,22.032448,0.0699255477699757,3471,0.2722579431313737
p0R6PZq3VFU.mp3,75.38358333333333,48000,0.023314705,0.410778,0.0567574352025985,26.313602,0.0309195051641199,4,0.053061950933171786
vrcPk9mfAV8.mp3,109.08735416666669,48000,0.102181,1.0305843,0.0991486087441444,28.280434,0.0591050440164515,3,0.02750089616635597
ZRYEKTm3i6o.mp3,32.17125,48000,0.10788132,0.996803,0.108227327466011,32.049606,0.0476149475886642,0,0.0
VsAvkG0lp60.mp3,58.21866666666666,48000,0.045973144,0.46218628,0.0994688645005226,37.529198,0.0336473992203242,0,0.0
ABEp_NzisxE.mp3,23.75402083333333,48000,0.056067865,0.9926621,0.0564823299646377,27.950245,0.04931640625,1,0.042098136017323394
uxLsLWvT_Ec.mp3,88.4448125,48000,0.022634866,0.38426727,0.0589039660990238,25.394241,0.067876334588308,0,0.0
3PTxBY-qcgM.mp3,42.144979166666666,48000,0.060601737,1.0043781,0.0603375732898712,21.385534,0.0334420764011892,0,0.0
Wrl7xs-hSqA.mp3,56.7611875,48000,0.22885053,1.3002403,0.176006332039833,36.79125,0.0528587848788049,0,0.0
AXY329DrfeU.mp3,21.01333333333333,48000,0.100617275,0.5621254,0.1789943575859069,54.31627,0.0487087178145611,0,0.0
vi3giqGFOd8.mp3,643.7546666666667,48000,0.040468533,0.87482864,0.0462588109076023,20.438255,0.0437328418326346,19,0.02951434915164369
R39qiqP8Scw.mp3,38.784,48000,0.1124588,1.0963628,0.1025744378566742,28.936651,0.0834940799422601,0,0.0
-qN6s2uadcY.mp3,127.05960416666667,48000,0.05215938,0.9743006,0.0535352006554603,22.454071,0.0651591078717889,16,0.12592515225383888
mGYspANmnCw.mp3,44.67520833333333,48000,0.11531762,1.0633738,0.1084450483322143,88.44123,0.0730032339162091,0,0.0
Fao_zglp5lM.mp3,546.0636875,48000,0.03591606,0.6805754,0.052773080766201,26.16211,0.0392673255624438,90,0.16481594008208061
Up4b63lFv4I.mp3,121.92,48000,0.107492544,1.1018014,0.0975607261061668,28.286583,0.0563611372720015,0,0.0
zLyQej907Fk.mp3,111.89697916666668,48000,0.047959376,0.86579335,0.055393561720848,23.452553,0.0431537113656944,4,0.03574716699047021
BaJT32PqYZU.mp3,10142.272,48000,0.047384404,1.0919019,0.043396208435297,18.04475,0.047287091341995,1525,0.15036078701103656
hng98BENmYc.mp3,56.55466666666667,48000,0.056039903,0.6443214,0.0869750827550888,34.077446,0.0445802714854799,11,0.19450207468879668
oa5VIGYx3jg.mp3,51.2580625,48000,0.1503715,1.0521044,0.1429245173931121,30.752666,0.0603368713912297,0,0.0
-upP9DKoBxs.mp3,53.80064583333333,48000,0.06378694,1.0237911,0.0623046457767486,21.296204,0.0481314239380947,4,0.07434854987413024
gLfnlDsfTy8.mp3,102.95729166666666,48000,0.15336093,1.1976476,0.1280518025159835,29.405293,0.0565150770809592,7,0.0679893564281306
ranksX-kZ9E.mp3,44.76808333333334,48000,0.035810646,0.6270385,0.0571107640862464,32.594025,0.041968808621665,16,0.357397476252613
fbLVXvMYo2E.mp3,21.53652083333333,48000,0.07201536,0.81244624,0.0886401534080505,43.261818,0.0386409344059405,0,0.0
bU99w9MXfEQ.mp3,41.12254166666666,48000,0.08232027,1.0002962,0.0822958946228027,24.224909,0.0448082888274766,0,0.0
9V5qu_CusK0.mp3,12412.88,48000,0.096101455,1.0524726,0.0913101732730865,33.469337,0.0798105095246992,2640,0.21268231063218207
fKiN0Kce-N0.mp3,72.15602083333333,48000,0.05783633,0.4721181,0.1225039437413215,30.495026,0.0475959095528455,2,0.02771771470906938
BqNWon4N12E.mp3,72.24889583333334,48000,0.03581061,0.57015926,0.0628080815076828,46.855232,0.0490231780059787,11,0.1522514617437925
QXcwBNY3l98.mp3,620.1129791666667,48000,0.019243795,0.4671718,0.0411921180784702,30.592735,0.0963202377157656,124,0.19996356174746785
NjlR6s_fIcE.mp3,45.9306875,48000,0.061311346,0.8527163,0.071901224553585,26.098953,0.0358514300847457,0,0.0
ST96RF6hgJw.mp3,411.0280416666666,48000,0.037945878,0.26605517,0.142624095082283,37.52069,0.0518574353574116,14,0.03406093643448699
PGZfLBDg8Co.mp3,30.549333333333333,48000,0.040673673,0.64507693,0.0630524381995201,27.127728,0.0386972690335951,3,0.0982018156424581
uUvociv9GQY.mp3,1842.7472291666663,48000,0.04361272,0.7226542,0.0603507421910762,30.029858,0.073100489331536,447,0.2425726073142131
RIEd8dK5xRE.mp3,49.795208333333335,48000,0.10496644,0.99788576,0.1051888316869735,28.281977,0.0386936484324801,0,0.0
uKFFwIAG6m4.mp3,25.774166666666662,48000,0.055808466,0.94344103,0.0591541640460491,53.948933,0.0226696236941456,2,0.07759707717675969
atqo1VI4B_A.mp3,36.608,48000,0.020164592,0.24211507,0.0832851603627204,30.351555,0.0508264796642877,0,0.0
cMyb1RvAJaM.mp3,3220.004,48000,0.04455507,1.2953207,0.034396942704916,19.405674,0.0673499839338006,362,0.1124222205935148
S_WPv-1xD9M.mp3,1676.9915833333334,48000,0.11125273,1.1476045,0.0969434455037117,28.022568,0.053427813385514,42,0.02504484841630342
B8-r1WibpSY.mp3,5.096791666666666,48000,0.02939613,0.34476596,0.0852640122175216,171.16031,0.0236366942337866,0,0.0
ROO1ri3FE_Y.mp3,110.6663125,48000,0.024536885,0.4165793,0.058900874108076,26.099546,0.0569263930722891,23,0.20783199042617417
OESmtz9AcRI.mp3,16.81125,48000,0.06852363,0.6198576,0.1105473712086677,37.409275,0.0543716808021559,0,0.0
dSzqOkMUnXw.mp3,942.5444166666666,48000,0.067741655,1.2136424,0.0558168180286884,28.799002,0.0397681383520862,114,0.12094920725663415
wubg7Y6w9So.mp3,33.854708333333335,48000,0.06285012,0.9463024,0.0664165243506431,26.682602,0.0572392079690453,1,0.029537988930638647
YavSVvRpzAc.mp3,44.04827083333333,48000,0.06456876,0.79510415,0.0812079235911369,32.084785,0.0559375236455811,4,0.09080946707612908
-hetnZQbxkA.mp3,139.2616875,48000,0.05756031,0.9843744,0.0584740005433559,25.302336,0.0584197698854932,0,0.0
uN6zo62r858.mp3,174.01035416666667,48000,0.061776876,0.40095955,0.1540725827217102,40.36902,0.0501349971650116,1,0.005746784464573887
PMGZSuNh1Jo.mp3,3563.241375,48000,0.08709349,1.124355,0.0774608477950096,32.882744,0.0822012920370845,833,0.23377591140594567
EdA1dfOmc8w.mp3,2085.894979166667,48000,0.04946668,0.5820446,0.0849877819418907,25.15342,0.0505610910948694,0,0.0
fxhqNOfvxqI.mp3,34.602666666666664,48000,0.06630593,1.0673095,0.0621243678033351,24.615889,0.0764197021860554,0,0.0
3R5kit8HEiQ.mp3,94.098875,48000,0.02565854,0.40193033,0.0638382807374,29.747852,0.0554398472037236,2,0.02125423922443281
eXmbxbar3qo.mp3,1702.1587916666667,48000,0.05932569,1.4325639,0.0414122492074966,19.071495,0.0529874717418754,175,0.10281061958305839
THMixCVjABY.mp3,5.03875,48000,0.009149939,0.058039553,0.1576500535011291,160.69528,0.0126436971458773,0,0.0
mMSLH_aYhPM.mp3,60.801458333333336,48000,0.095908,0.6873003,0.1395430713891983,36.534283,0.0526726225388089,0,0.0
dR3UZY9ZFKU.mp3,231.46666666666667,48000,0.029080022,0.41670924,0.0697849243879318,28.156376,0.0580390475597322,22,0.09504608294930876
PykashrqAUA.mp3,598.0996041666667,48000,0.06382274,1.0682268,0.05974642932415,28.695412,0.0516417682009291,121,0.20230744036119122
FfzeEOCbkhI.mp3,3596.1386666666667,48000,0.077086754,1.1699171,0.0658907815814018,35.169487,0.0938267473111053,760,0.21133779045969306
d2QinaqAJdM.mp3,521.566625,48000,0.016655942,0.33261645,0.0500755235552787,30.445824,0.068491868110518,96,0.18406085703815883
7SOAhwtGLtw.mp3,370.1260833333333,48000,0.10938059,1.0806118,0.1012209802865982,24.449167,0.0564342382249639,0,0.0
sLi2fWhBZ04.mp3,610.3253333333333,48000,0.03396607,1.0560756,0.0321625359356403,24.848577,0.0672909146901597,79,0.12943916250131077
7KAXkaLzeVA.mp3,4615.2910833333335,48000,0.078189395,1.142189,0.0684557408094406,18.973076,0.0320760654264284,13,0.00281672374835585
pjcdIa9W_c4.mp3,10.112020833333334,48000,0.026384264,0.7184322,0.036724779754877,22.940962,0.0563391151870389,1,0.09889220131979883
pFbmzvD5LWY.mp3,24.369354166666668,48000,0.09561735,1.0062201,0.0950262770056724,28.578495,0.0567171259573304,0,0.0
8qThIkCPjpo.mp3,45.47629166666667,48000,0.27690488,1.2633114,0.2191897332668304,79.23854,0.0484863052225023,0,0.0
EGIP1styF0A.mp3,28.723104166666666,48000,0.19340697,1.0815952,0.17881640791893,60.693165,0.0428797243432046,0,0.0
